Puzzle,Category,Date
KALAMAZOO AND SAGINAW,On the Map,3/6/18
MUGS AND CUPS,In the Kitchen,3/7/18
VAST WAREHOUSE,Place,3/8/18
IDAHO AND WYOMING,On the Map,3/9/18
HIDDEN COVE,Place,3/12/18
BUBBLE OVER,Phrase,3/13/18
RIDING PIGGYBACK,Fun &amp; Games,3/14/18
VICTORIOUS BOXER,Person,3/15/18
KAYAKER,Person,3/16/18
BAGGY PAJAMAS,What Are You Wearing?,3/19/18
QUEBEC AND MANITOBA,On the Map,3/20/18
CHEWY JERKY,Food &amp; Drink,3/21/18
JOURNAL PAGES,Things,3/22/18
BUYING A CONDO,Event,3/23/18
BLOOMING MARIGOLDS,Living Things,3/26/18
A QUIRKY SUBJECT,Thing,3/27/18
PIZZA BAGELS,Food &amp; Drink,3/28/18
WARM GRIDDLE,In the Kitchen,3/29/18
JUNEAU AND ANCHORAGE,On the Map,3/30/18
GOLDEN WAFFLES,Food &amp; Drink,4/2/18
FLUFFY KOALAS,Living Things,4/3/18
BRUCE WAYNE,Character,4/4/18
MOVIE NIGHT,Event,4/5/18
MAKING A WISH,What Are You Doing?,4/6/18
BEAUTY PRODUCTS,Around the House,4/9/18
CRISP FUJI APPLE,Food &amp; Drink,4/10/18
WRAPAROUND PORCH,Place,4/11/18
BATCH OF BROWNIES,Food &amp; Drink,4/12/18
CUDDLY PUPPIES,Living Things,4/13/18
MY WORKSPACE,Place,4/16/18
DAILY OUTPUT,Thing,4/17/18
JAM-PACKED HOUSE,Place,4/18/18
FOXHOUND,Living Thing,4/19/18
BROWN HIP BOOTS,What Are You Wearing?,4/20/18
WAVE OF EUPHORIA,Thing,4/23/18
COLORFUL PONCHO,What Are You Wearing?,4/24/18
DISPOSABLE CHOPSTICKS,In the Kitchen,4/25/18
SAVORY DIP,Food &amp; Drink,4/26/18
CROWDED HARBOR,Place,4/27/18
GRAVEL PATH,Place,4/30/18
PURPLE ORCHIDS,Living Things,5/1/18
AUDITIONING FOR A PLAY,Show Biz,5/2/18
PAGEANT COMPETITOR,Person,5/3/18
POLKA-DOT BOXERS,What Are You Wearing?,5/4/18
MOUNTAIN HIDEAWAY,Place,5/7/18
MAJOR OBJECTIVE,Thing,5/8/18
WALKING MY BIKE,What Are You Doing?,5/9/18
A PAIR OF GOLDFINCHES,Living Things,5/10/18
VACATION HOME,Place,5/11/18
HOODED JACKET,What Are You Wearing?,5/14/18
ADORABLE GUINEA PIG,Living Thing,5/15/18
QUART OF JUICE,Food &amp; Drink,5/16/18
OSHKOSH AND MILWAUKEE,On the Map,5/17/18
HOWLING WOLVES,Living Things,5/18/18
DAVENPORT IOWA,On the Map,5/21/18
ORDERING APPETIZERS,What Are You Doing?,5/22/18
